,pk_time,pk_mag,a1,a2,std_time,std_mag,std_a1,std_a2,chi_2,filter,name,dof,redshift
15,59347.11669824036,21.48015997510329,-1.1716479911946212,0.3648987301138017,7.726154180976211,0.44004423651174984,0.1060957501389803,0.018237912221317387,20.877260164643207,r,missing13 ,4.0,0.1344
16,59311.54427563561,21.513738003260578,-5.588162145324519,0.10178117455212522,0.5161359266175323,0.021292171722822013,0.8160919027506175,0.05246905570402122,23.41962092670164,g,2021jgl ,14.0,0.3467
17,59314.77649059715,21.40573621852518,-3.6597491613254114,0.42388110019635405,0.49229786149982646,0.017698974485946428,0.15697254395677251,0.024545632788514522,20.012380452784456,r,2021jgl ,14.0,0.3467
18,59320.97117563561,21.744479036130972,1.0731634695058676,-0.0736227341323595,0.0,0.06494007695959632,0.03211558860001286,0.008985624845510362,79.60272507552384,z,2021jgl ,11.0,0.3467
19,59338.25393048156,21.374054737462707,2.1497229530704245,-0.5284264718525499,0.9188296792252759,0.04764866535575603,0.025203524268948226,0.007256811409189129,35.41879397957829,z,2021hmj ,8.0,0.1384
20,59346.22273048156,22.663302270327343,-1.1515700366091763,0.3676616139509426,0.0,0.08788549477949094,0.1063252758544062,0.018304358467554103,74.42470338568044,r,2021hmj ,6.0,0.1384
21,59359.77084429326,21.705653494626226,2.1807719026674364,-0.5404825209354428,1.0044638471597709,0.049110502449150856,0.025107143908932983,0.0072312680700047545,30.13708935186923,z,missing2,10.0,0.1328
22,59297.29944440009,20.750014230389926,0.4596124449750207,0.2609106513680784,0.5701181489164319,0.014364555671969734,0.24134353569510303,0.031836772526250987,202.13782295356262,g,2021fxl ,15.0,0.0581
23,59303.671385044225,20.21224285167741,1.3905153155219352,0.2890293220231127,0.13427687747450087,0.010227824191386702,0.08022821189763558,0.01695592926347441,914.3256632022336,r,2021fxl ,12.0,0.0581
24,59303.39100430794,20.183773079805622,2.6017754842669794,-0.7025672276296951,0.21004184229281775,0.013661243411960006,0.023924046175514094,0.006974872227558724,270.8189990033908,z,2021fxl ,11.0,0.0581
25,59308.63723130682,22.141197977614873,-3.1566987732438285,0.17270302563642403,1.4361390229936408,0.07777700581580452,0.5484588036173064,0.03999351065468032,52.060827839385276,g,2021jgs ,13.0,0.2179
26,59313.25049333311,21.825332758688695,-2.1827404832388817,0.3876567746945513,0.9905214710163627,0.04236946589754901,0.12158859433355851,0.020063765749170324,20.46930021506968,r,2021jgs ,7.0,0.2179
27,59327.69789820237,21.35118400629436,2.5614515138735694,-0.7002344351206303,0.7830343501028717,0.050942941762056416,0.024125198656310236,0.006989775634104728,68.23132554127508,z,2021jhq ,13.0,0.0597
28,59333.269192599626,21.206229753352073,-2.3577736810056114,0.23927079850363156,2.9095404303619117,0.19373185971973161,0.397447002265996,0.032339489790762774,150.165156590269,g,2021jhq ,9.0,0.0597
29,59326.75318254622,22.815914396185118,-0.11609794530039408,0.34524169564518914,1.5731866082440262,0.10785730731669892,0.0975482870418028,0.017332873826174044,13.776297378471835,r,2021jhq ,4.0,0.0597
30,59318.73644706936,20.735193914669058,-3.959637763368461,0.19184591507500615,0.16972374738159907,0.006578983494255219,0.359409645801873,0.04146852173196978,40.43806076671086,g,2021jgv  ,18.0,0.245
31,59322.11048087893,20.540017988597054,-1.588628019885684,0.4255067138701647,0.1920592124689898,0.010392618054555052,0.11033111498745399,0.02048833450623979,259.1186184447516,r,2021jgv  ,12.0,0.245
