name,redshift,g_pk_time,r_pk_time,z_pk_time,g_a1,r_a1,z_a1,g_a2,r_a2,z_a2,g_std_time,r_std_time,z_std_time,g_std_mag,r_std_mag,z_std_mag,g_std_a1,r_std_a1,z_std_a1,g_std_a2,r_std_a2,z_std_a2,g_pk_mag,r_pk_mag,z_pk_mag
2021hmy ,0.3376,59310.59841986125,59310.611799723505,59308.64916495929,-5.272254188257036,-3.245798843785194,1.1216384230262708,0.1055527707540275,0.4142160911131499,-0.0949667041426155,0.2522388290445693,0.2867656166108084,0.9022844115530158,0.0107658140743849,0.0113370740134753,0.0366863977676501,0.377614662043707,0.1225501918118959,0.0316404892284895,0.0498147534298468,0.0239156620314292,0.0088781027000354,-20.66255549357706,-20.831806782210347,-19.807882353725333
2021hmz ,0.4112,59281.17705,59271.29865,59290.22377113822,-3.325437877287102,-4.435222432056424,0.7328417170545445,0.049603770038955,0.4286235400622697,0.0659009466157862,0.0,0.0,5.862433593014314,0.0872955591094872,0.0351855054202388,0.1884289805473833,0.6468988221320539,0.1829646453449999,0.0354617627253685,0.0609628683169812,0.0272411326476251,0.0098217461070285,-19.99600120934675,-21.817425046356885,-20.40346599659279
2021hnb ,0.3681,59301.92853672973,59305.3434873364,59302.23569712851,-4.594646466405043,-3.29314760448619,0.983759628227284,0.0577295799939225,0.4281647812096945,-0.0289410805137066,0.4059831035241931,0.2179866375810288,0.6221455406851432,0.027063521703475,0.0148523818888049,0.0271298770356383,0.6908896796383551,0.158406594401439,0.0330792682607787,0.0548592915018568,0.0253904768980046,0.0092442060993974,-19.391632074679872,-19.99645000017564,-19.84865516786822
2021hnd ,0.2018,59297.84200985954,59299.6410180837,59295.45342040462,-7.758373982173043,-1.9242088063989544,1.8297499809883075,0.1685600521127437,0.3786229720729779,-0.3906985749123715,0.2730423297817425,0.2502727184117894,1.6974309777615022,0.0108067063258863,0.011644560767632,0.0363181635716919,0.4031604294053375,0.1089840022244865,0.0266222322095779,0.0386103558033244,0.0194952433847102,0.0076237733126584,-19.405628252248327,-19.360764581478016,-18.72411582565419
2021hne ,0.3712,59281.59734,59291.19574,59274.334972956465,-4.721660006400428,-4.020945809787256,0.944749923945386,0.0824692554482694,0.4375602862507634,-0.020941998515837,0.0,0.0,0.0004136183465303,0.059870307839616,0.0432657497338873,0.0842376538184832,0.5358710104594685,0.1722586247468098,0.0333247386617573,0.055542783082832,0.0256737671602698,0.0092861423242836,-19.841089297847226,-19.66205434640638,-19.752199643641372
2021hnj ,0.6451,59294.797524012785,59302.35665370488,59298.40702089989,2.269446245058372,-4.008187055218695,-0.44349901591009,-0.0878766178405963,0.4752201061690512,0.5744603047942141,5.535551035364759,0.8020452708157919,0.0002010482820935,0.0946009088535091,0.0353791559928417,0.0307449295060378,1.1111453566588323,0.3055668503663724,0.052008780224864,0.1023324906236123,0.0429430845222459,0.0140362517489909,-19.734358270804755,-20.730580046910642,-21.324038437216494
2021hnk  ,0.5976,59303.3101945329,59309.55802587552,59310.95627330301,1.602852562206451,-3.0376440922497725,-0.2260516056433383,0.0967725229058358,0.5527219190019904,0.4740687775145544,0.0009240627038017,0.3593542905960148,0.9929766186798548,0.024054507687635,0.0181977244596836,0.0355390471585691,0.6713530834499598,0.2353863797948268,0.0482846428678901,0.0908112053734794,0.0388865978146542,0.0130345645453383,-21.022144693503375,-21.27112177890588,-21.07199183673379
2021hnl ,0.1273,59301.15884582801,59302.39103584471,59299.22042166869,-4.026163002758168,-0.9754474438546084,2.209359641621264,0.2240056066982395,0.3586952718972197,-0.5524105337021143,0.0002965262122595,0.6879975773047659,1.1394783183429609,0.136260731861048,0.0488823962907404,0.046221083036951,0.5476235859431192,0.1042471039669919,0.0249979029322551,0.0346077374456009,0.0181088095336387,0.0072064073930033,-16.134198375036814,-16.559592689301645,-17.143487089992302
2021hnn ,0.24605,59339.0628021138,59347.7851521138,59339.3947908493,1.4548764686336104,-1.9645685399288055,1.600452061057268,0.1623638030324642,0.4289448455609759,-0.2931993057913744,1.169113620567423,0.0,0.9722368824970716,0.0484908166973667,0.0250591977468773,0.0437668508681276,0.4349429378163358,0.1268609824744503,0.0280172609960583,0.0421580184189504,0.0208124959039684,0.0079648967042025,-18.500128606077386,-18.982629651740403,-18.997004425688452
2021hnp ,0.26215,59287.721866854685,59293.90583722729,59296.556916854686,-4.892005303580693,-2.7488554656399633,1.5087073728013785,0.1455532419149701,0.3947821700983353,-0.2583234167271686,0.0,0.9377889670121556,1.208660850373885,0.0676139917351516,0.0316927493961627,0.0307287040535935,0.6164880391637505,0.1319270489937496,0.0285680406242397,0.043683131992,0.0213692616250542,0.0081032675591153,-18.503908849509767,-19.308289395630915,-19.352502124673734
